Species,Cladename,wing_length,tail_length,tarsus_length,middle_toe_length,bill_length,bill_width,bill_depth
Euphonia chrysopasta,Passerida,59.5,37.0,15.1,9.4,11.7,6.6,5.8
Euphonia fulvicrissa,Passerida,51.0,27.0,15.0,10.2,10.6,6.5,5.3
Euphonia gouldi,Passerida,55.0,30.0,15.2,10.7,11.2,6.7,5.3
Euphonia jamaica,Passerida,66.0,39.0,17.8,12.3,11.4,7.4,7.0
Euphonia laniirostris,Passerida,63.0,36.3,14.7,9.5,11.6,7.1,6.2
Euphonia luteicapilla,Passerida,53.0,31.0,14.0,9.7,9.8,6.2,4.7
Euphonia minuta,Passerida,64.0,29.0,12.4,8.5,10.8,5.7,4.4
Euphonia musica,Passerida,62.0,36.0,15.0,10.4,10.4,7.3,5.7
Euphonia rufiventris,Passerida,63.5,32.0,16.7,14.6,13.4,7.5,6.2
Euphonia violacea,Passerida,59.0,31.0,15.3,8.8,11.4,8.1,6.3
Euphonia xanthogaster,Passerida,63.0,35.0,15.7,9.7,11.1,6.0,5.6
Euplectes gierowii,Passerida,79.0,48.0,23.2,17.2,15.2,8.9,10.2
Euplectes nigroventris,Passerida,55.0,29.0,18.7,15.7,14.6,7.6,8.5
Ficedula albicollis,Passerida,81.0,78.0,17.3,12.6,12.4,6.0,4.2
Ficedula dumetoria,Passerida,60.0,41.0,17.5,10.7,14.1,5.5,3.6
Ficedula narcissina,Passerida,81.0,54.0,17.0,14.2,14.5,7.6,4.6
Ficedula tricolor,Passerida,56.0,45.0,19.3,14.0,12.7,5.9,3.9
Foudia madagascariensis,Passerida,71.0,44.0,19.4,15.5,15.8,8.8,9.7
Fraseria ocreata,Passerida,97.2,69.8,21.5,14.6,20.0,8.8,6.6
Fringilla coelebs,Passerida,86.3,61.8,18.4,14.6,15.0,7.0,7.8
Fringilla montifringilla,Passerida,88.8,57.0,18.9,14.8,14.8,7.3,8.1
Fringilla teydea,Passerida,93.5,71.5,22.3,16.4,18.8,9.2,11.1
Galerida cristata,Passerida,108.0,63.0,26.1,17.9,19.8,7.2,6.6
Galerida theklae,Passerida,106.0,67.0,24.0,16.2,16.2,6.5,5.9
Garrulax albogularis,Passerida,132.0,136.0,44.9,24.9,27.5,12.0,9.7
Garrulax canorus,Passerida,95.5,101.5,35.4,23.4,23.9,9.2,8.1
Garrulax leucolophus,Passerida,134.0,115.0,44.5,31.3,29.8,10.6,10.2
Garrulax ocellatus,Passerida,135.0,153.0,46.7,28.4,30.2,10.9,9.7
Garrulax pectoralis,Passerida,135.5,141.0,43.7,27.7,29.5,11.3,10.4
Garrulax rufogularis,Passerida,96.0,107.0,36.3,21.4,23.6,9.3,7.6
Garrulax sannio,Passerida,99.0,119.0,37.0,23.4,25.4,9.6,7.9
Garrulax subunicolor,Passerida,96.0,109.0,37.9,21.8,18.9,7.9,7.1
Geospiza conirostris,Passerida,77.0,45.0,17.7,18.0,21.7,11.0,14.9
Geospiza difficilis,Passerida,67.0,39.0,20.6,15.9,15.0,7.1,8.2
Geospiza fortis,Passerida,69.0,42.0,20.7,16.1,16.7,10.0,11.6
Geospiza fuliginosa,Passerida,61.0,37.0,18.6,13.5,12.5,6.6,8.1
Geospiza magnirostris,Passerida,80.0,49.0,23.4,18.6,22.4,13.6,18.7
Geospiza scandens,Passerida,70.0,41.0,21.4,16.5,19.9,7.8,9.5
Geothlypis trichas,Passerida,58.0,54.0,18.3,13.1,14.3,6.5,5.2
Gnorimopsar chopi,Passerida,122.0,92.5,29.9,22.9,25.1,10.6,11.5
Gracula religiosa,Passerida,177.0,88.5,38.0,32.7,35.9,16.1,17.6
Habia gutturalis,Passerida,97.0,87.0,26.1,16.9,21.9,12.6,10.2
Habia rubica,Passerida,91.0,79.0,23.5,14.2,19.2,10.0,9.3
Heleia muelleri,Passerida,66.0,52.0,20.3,13.4,17.4,6.4,5.0
Heliolais erythropterus,Passerida,50.5,52.0,21.0,12.1,16.1,5.6,4.9
Helmitheros vermivorum,Passerida,68.0,48.0,18.2,12.5,16.5,4.2,4.3
Hemithraupis flavicollis,Passerida,67.3,47.5,16.2,10.7,14.7,6.1,5.3
Hemithraupis guira,Passerida,67.5,49.7,15.4,10.2,14.2,5.5,5.0
Henicorhina leucophrys,Passerida,56.0,27.0,23.0,16.9,16.7,5.8,4.2
Henicorhina leucosticta,Passerida,53.0,26.0,21.9,14.4,17.1,5.5,3.8
Hippolais caligata,Passerida,61.0,47.0,20.7,12.5,14.1,4.9,3.6
Hippolais icterina,Passerida,78.4,49.9,20.6,11.1,16.0,5.1,3.6
Hirundo fuligula,Passerida,110.0,46.0,11.5,11.8,10.7,8.2,3.8
Hirundo neoxena,Passerida,113.0,75.0,10.1,12.5,8.9,6.1,3.3
Hirundo nigricans,Passerida,97.0,45.5,10.3,11.0,8.4,6.7,3.5
Histurgops ruficaudus,Passerida,123.0,90.0,30.0,21.9,22.9,12.2,12.2
Hylia prasina,Passerida,63.4,40.9,17.5,9.7,13.4,5.0,3.7
Hylocichla mustelina,Passerida,108.0,70.0,30.9,18.8,19.3,5.4,5.1
Hypargos niveoguttatus,Passerida,58.0,51.0,18.1,13.6,12.7,7.9,8.0
Hypocolius ampelinus,Passerida,99.8,103.0,24.4,22.0,17.6,10.2,6.8
Hypogramma hypogrammicum,Passerida,65.0,46.0,15.4,9.6,21.5,4.9,3.7
Hypopyrrhus pyrohypogaster,Passerida,132.5,121.0,34.6,22.5,29.0,12.2,13.7
Icteria virens,Passerida,76.0,75.0,26.0,16.0,17.9,5.5,6.3
Icterus auratus,Passerida,95.5,86.5,23.8,16.6,21.1,9.1,8.9
Icterus auricapillus,Passerida,91.5,84.8,21.9,17.1,21.8,8.5,7.8
Icterus bonana,Passerida,88.0,81.0,23.6,16.2,24.7,9.1,8.5
Icterus cayanensis,Passerida,96.0,94.1,22.2,19.2,21.9,8.2,8.1
Icterus chrysater,Passerida,92.8,94.5,25.6,19.8,24.7,10.2,10.6
Icterus cucullatus,Passerida,89.0,85.5,23.0,16.8,23.2,9.2,7.4
Icterus dominicensis,Passerida,104.0,110.0,24.3,20.1,23.0,8.8,7.5
Icterus galbula,Passerida,95.1,73.5,23.6,16.8,20.3,8.3,8.5
Icterus graceannae,Passerida,95.0,93.0,26.8,18.4,22.8,10.2,9.4
Icterus graduacauda,Passerida,100.0,99.0,27.4,18.8,25.3,11.9,11.8
Icterus gularis,Passerida,112.5,100.0,29.9,21.5,27.6,12.8,13.6
Icterus icterus,Passerida,105.5,95.0,29.1,20.9,27.6,10.9,10.2
Icterus jamacaii,Passerida,111.0,97.0,30.2,23.1,26.5,10.7,11.0
Icterus leucopteryx,Passerida,102.0,84.0,24.3,17.5,24.3,11.2,10.9
Icterus maculialatus,Passerida,103.0,96.0,24.6,16.5,23.2,8.9,8.2
Icterus mesomelas,Passerida,94.5,96.5,29.8,21.1,24.6,9.4,9.6
Icterus nigrogularis,Passerida,93.5,83.9,25.7,16.3,23.4,10.0,11.0
Icterus oberi,Passerida,94.5,93.5,25.9,18.5,27.2,10.0,10.0
Icterus parisorum,Passerida,102.0,84.0,24.8,19.1,25.5,9.0,8.4
Icterus pectoralis,Passerida,104.5,92.0,28.8,19.6,24.2,11.4,9.9
Icterus prosthemelas,Passerida,85.0,90.0,23.0,16.4,23.1,8.1,8.0
Icterus pustulatus,Passerida,103.0,84.0,24.4,17.8,24.8,10.0,10.1
Icterus spurius,Passerida,79.0,66.9,22.1,15.6,19.2,7.1,6.7
Icterus wagleri,Passerida,106.0,109.0,26.2,21.3,26.5,8.9,8.4
Illadopsis cleaveri,Passerida,75.5,56.0,26.1,15.5,17.2,6.8,4.9
Illadopsis fulvescens,Passerida,74.5,64.3,22.0,13.9,19.6,6.7,5.6
Illadopsis rufipennis,Passerida,73.4,57.1,23.6,14.7,17.9,6.4,4.9
Irena puella,Passerida,119.0,78.0,15.8,11.9,29.1,10.1,8.9
Ixonotus guttatus,Passerida,89.8,70.4,18.4,11.3,17.1,5.2,4.6
Junco hyemalis,Passerida,77.0,66.0,21.3,14.5,12.9,7.0,7.2
Kenopia striata,Passerida,73.0,52.0,20.6,13.3,16.8,4.2,4.6
Lagonosticta rubricata,Passerida,51.0,43.0,16.0,12.3,12.7,5.8,6.2
Lagonosticta senegala,Passerida,52.0,39.0,13.5,11.3,10.8,5.5,5.4
Lampropsar tanagrinus,Passerida,102.5,102.0,25.9,16.9,21.0,9.1,8.5
Lamprospiza melanoleuca,Passerida,93.0,63.5,21.5,19.5,20.0,9.6,8.9
Lamprotornis australis,Passerida,155.0,147.0,44.1,24.6,25.3,12.1,8.3
Lamprotornis caudatus,Passerida,182.0,213.0,43.6,26.2,28.9,13.6,10.9
Lamprotornis chalcurus,Passerida,146.0,90.0,34.2,24.1,27.5,12.5,9.5
Lamprotornis chalybaeus,Passerida,133.5,95.7,32.0,24.3,26.0,12.1,8.2
Lamprotornis chloropterus,Passerida,116.8,72.8,27.0,19.8,22.5,10.8,7.0
Lamprotornis corruscus,Passerida,104.5,75.0,24.0,19.4,20.9,10.4,7.1
Lamprotornis cupreocauda,Passerida,125.0,75.0,22.6,18.4,19.7,11.7,7.6
Lamprotornis hildebrandti,Passerida,118.0,76.0,32.2,20.8,20.7,9.1,7.3
Lamprotornis nitens,Passerida,133.0,92.7,33.0,22.8,26.4,12.0,8.7
Lamprotornis pulcher,Passerida,111.0,66.0,32.4,23.4,23.0,11.3,8.1
Lamprotornis purpureiceps,Passerida,118.0,71.0,24.9,18.9,21.1,11.0,6.9
Lamprotornis purpureus,Passerida,148.5,93.0,36.3,27.8,28.9,14.9,11.7
Lamprotornis purpuroptera,Passerida,162.5,176.5,41.8,27.2,28.0,13.5,10.8
Lamprotornis splendidus,Passerida,148.3,121.8,31.5,25.8,27.7,14.3,10.2
Lamprotornis superbus,Passerida,122.5,72.0,33.2,22.7,22.2,10.3,7.7
Lanio fulvus,Passerida,93.0,82.0,16.2,10.7,19.1,7.8,7.3
Lanio versicolor,Passerida,84.0,70.0,16.3,10.2,17.0,6.4,6.0
Leiothrix lutea,Passerida,70.0,56.5,24.7,17.0,14.7,6.6,5.4
Leptopoecile sophiae,Passerida,54.0,52.0,18.3,12.6,10.7,4.4,3.2
Leucopeza semperi,Passerida,82.0,53.0,24.4,18.2,18.6,7.2,5.6
Leucopsar rothschildi,Passerida,135.0,85.0,35.4,27.4,33.6,15.8,13.2
Leucosticte brandti,Passerida,117.0,71.0,22.2,15.3,14.3,7.8,7.9
Leucosticte nemoricola,Passerida,97.0,63.0,20.7,16.2,13.8,6.2,7.8
Liocichla steerii,Passerida,84.0,85.0,28.1,19.9,16.9,7.6,6.3
Loboparadisea sericea,Passerida,93.2,63.5,32.2,20.6,20.6,11.5,8.1
Locustella fluviatilis,Passerida,73.0,66.0,22.1,16.0,16.8,6.7,4.4
Locustella naevia,Passerida,60.0,44.0,20.2,14.3,14.4,5.6,4.1
Lonchura caniceps,Passerida,58.0,40.0,14.3,12.5,12.1,6.9,7.6
Lonchura cantans,Passerida,53.0,39.0,13.2,12.7,11.1,6.5,6.6
Lonchura punctulata,Passerida,54.0,34.0,15.6,15.1,13.2,8.0,8.6
Loxigilla noctis,Passerida,67.0,47.0,18.8,13.3,13.7,7.0,8.8
Loxigilla violacea,Passerida,79.0,67.0,20.3,14.5,16.4,11.0,11.9
Loxipasser anoxanthus,Passerida,62.0,43.0,17.3,11.9,10.3,7.6,7.8
Lullula arborea,Passerida,98.0,57.0,19.7,16.3,14.1,6.4,5.1
Luscinia luscinia,Passerida,86.0,69.0,26.0,18.7,16.4,7.5,5.3
Luscinia megarhynchos,Passerida,86.0,65.0,26.5,16.6,16.9,7.5,5.3
Macroagelaius subalaris,Passerida,129.0,144.5,30.9,19.9,27.7,12.6,12.7
Macronous ptilosus,Passerida,71.0,65.0,22.0,11.8,18.4,6.3,4.4
Macronyx aurantiigula,Passerida,92.0,72.0,32.9,26.1,19.2,7.5,6.7
Macronyx sharpei,Passerida,87.0,60.0,29.4,22.4,17.2,6.7,5.5
Macrosphenus concolor,Passerida,57.7,40.2,17.6,9.7,16.9,5.9,3.7
Malacocincla cinereiceps,Passerida,77.0,61.0,19.5,11.3,17.1,5.9,4.8
Malacocincla malaccensis,Passerida,65.0,29.0,27.3,14.2,17.7,6.6,4.5
Malacopteron affine,Passerida,75.0,63.0,20.1,10.7,17.1,6.4,5.0
Malacopteron magnirostre,Passerida,76.0,64.0,20.2,12.2,17.3,6.1,4.9
Malacopteron magnum,Passerida,88.0,66.0,22.6,12.5,20.6,7.1,6.2
Malimbus erythrogaster,Passerida,90.1,52.9,22.1,13.1,23.2,9.6,9.0
Malimbus malimbicus,Passerida,82.3,56.2,19.7,12.0,20.1,8.8,8.7
Malimbus nitens,Passerida,90.3,51.4,18.8,13.0,22.9,9.3,10.5
Malimbus racheliae,Passerida,80.0,46.0,20.3,10.8,18.2,7.9,9.2
Mandingoa nitidula,Passerida,51.0,32.0,15.5,12.8,11.3,5.5,5.2
Margarops fuscatus,Passerida,139.0,110.0,35.3,24.8,32.6,13.5,9.9
Margarops fuscus,Passerida,117.0,93.0,29.1,20.4,24.4,7.6,9.0
Melaenornis pammelaina,Passerida,99.0,77.0,21.4,17.2,16.9,9.3,6.2
Melanocharis longicauda,Passerida,61.0,47.0,17.5,12.5,12.1,6.1,5.0
Melanocharis nigra,Passerida,62.3,39.2,15.7,10.0,13.8,5.5,4.3
Melanocharis versteri,Passerida,63.8,71.8,24.6,13.4,14.6,6.7,5.5
Melanochlora sultanea,Passerida,104.3,83.3,22.9,17.9,16.2,8.2,7.3
Melanocorypha bimaculata,Passerida,123.0,60.0,25.3,19.5,19.5,9.0,10.0
Melanocorypha calandra,Passerida,131.0,70.0,27.3,20.9,22.6,10.2,11.2
Melanocorypha leucoptera,Passerida,109.0,58.0,23.5,15.9,16.3,8.0,7.1
Melanodryas cucullata,Passerida,97.0,65.0,20.7,13.9,16.7,7.1,5.2
Melanoptila glabrirostris,Passerida,91.0,93.0,27.7,19.1,22.3,8.4,6.4
Melanospiza richardsoni,Passerida,70.0,49.0,20.8,14.7,16.5,9.6,11.0
Melanotis caerulescens,Passerida,109.0,111.0,28.8,21.3,29.6,9.4,7.8
Melanotis hypoleucus,Passerida,113.0,126.0,32.4,22.7,31.0,10.3,7.8
Melocichla mentalis,Passerida,74.0,81.0,28.6,18.7,20.6,8.3,6.5
Melospiza georgiana,Passerida,61.0,59.0,21.5,15.4,12.6,4.9,6.2
Melospiza lincolnii,Passerida,61.0,56.0,20.3,14.6,12.3,7.1,6.8
Melospiza melodia,Passerida,67.0,65.3,21.7,15.6,13.0,6.7,7.9
Microcerculus marginatus,Passerida,61.0,22.5,22.8,14.2,20.5,5.0,4.2
Microcerculus philomela,Passerida,55.0,21.0,20.1,15.7,18.4,4.7,4.5
Microeca flavovirescens,Passerida,78.0,58.0,15.2,9.7,15.4,6.6,4.8
Mimus gilvus,Passerida,109.7,111.3,31.2,19.8,23.9,10.1,7.2
Mimus gundlachii,Passerida,118.5,127.0,40.0,24.1,28.1,10.4,8.5
Mimus longicaudatus,Passerida,53.0,35.0,19.6,13.4,14.8,5.4,3.8
Mimus macdonaldi,Passerida,119.0,106.0,37.1,23.6,34.8,7.8,6.8
Mimus melanotis,Passerida,111.0,99.0,37.6,21.6,26.6,6.4,5.6
Mimus parvulus,Passerida,105.0,103.0,35.2,20.9,24.1,6.4,5.8
Mimus patagonicus,Passerida,103.0,94.0,34.0,21.3,21.8,8.7,6.5
Mimus polyglottos,Passerida,109.0,112.7,32.2,20.6,21.1,8.9,6.9
Mimus saturninus,Passerida,100.0,112.5,31.8,24.1,24.5,9.9,7.7
Mimus thenca,Passerida,117.3,120.3,38.9,23.6,25.4,9.8,7.3
Mimus trifasciatus,Passerida,109.0,102.0,34.5,21.5,29.0,6.7,6.0
Mimus triurus,Passerida,106.5,103.0,32.0,22.5,21.7,8.9,6.7
Mino anais,Passerida,143.5,70.5,29.2,28.0,27.1,12.4,10.5
Mino dumontii,Passerida,154.5,87.5,33.5,30.6,33.4,14.7,13.9
Mirafra hypermetra,Passerida,97.0,58.0,33.7,21.1,20.5,8.3,7.8
Mirafra javanica,Passerida,74.0,48.0,22.0,16.5,15.9,8.4,7.9
Mirafra rufocinnamomea,Passerida,81.0,53.0,24.0,14.5,16.5,6.6,6.8
Mniotilta varia,Passerida,67.5,47.0,17.1,13.0,15.3,3.1,3.2
Modulatrix stictigula,Passerida,81.0,66.0,30.8,20.5,20.1,7.4,4.9
Molothrus ater,Passerida,98.5,66.0,23.6,16.5,16.9,7.5,8.7
Molothrus bonariensis,Passerida,102.0,76.5,25.2,19.2,21.0,9.1,10.1
Monticola imerinus,Passerida,79.0,53.0,24.5,18.2,18.3,8.6,5.5
Montifringilla nivalis,Passerida,121.0,67.0,22.5,18.9,17.3,9.1,9.8
Motacilla alba,Passerida,96.0,88.0,25.2,16.6,16.3,5.7,5.1
Motacilla cinerea,Passerida,86.0,96.0,20.3,13.6,16.7,5.6,4.2
Motacilla citreola,Passerida,87.0,81.0,24.3,16.2,17.0,5.4,4.6
Motacilla flava,Passerida,82.0,70.0,24.8,16.9,16.8,5.6,4.2
Muscicapa adusta,Passerida,67.0,46.0,15.6,10.8,13.3,7.3,4.5
Muscicapa ferruginea,Passerida,72.0,46.0,11.0,10.2,11.9,7.1,4.5
Muscicapa sibirica,Passerida,75.0,45.0,10.6,9.6,11.1,6.3,3.9
Myadestes genibarbis,Passerida,92.0,92.0,22.3,15.3,15.1,10.2,4.6
Mycerobas affinis,Passerida,128.0,81.0,27.1,24.8,26.0,14.9,16.2
Mycerobas carnipes,Passerida,122.0,84.0,25.5,19.9,25.7,15.5,18.4
Myioborus albifrons,Passerida,66.0,60.0,18.6,11.0,12.9,6.6,4.7
Myioborus brunniceps,Passerida,63.5,58.5,20.1,12.4,13.8,6.4,3.9
Myioborus melanocephalus,Passerida,66.5,60.5,20.4,12.3,12.5,6.8,4.4
Myioborus ornatus,Passerida,70.5,63.0,19.4,12.9,13.4,6.0,3.8
Myioborus pictus,Passerida,70.0,63.0,16.5,10.5,12.2,5.9,4.2
Myioborus torquatus,Passerida,68.0,60.5,19.8,11.7,12.8,6.3,3.8
Myioparus plumbeus,Passerida,66.0,56.0,18.3,12.0,14.7,6.8,4.1
Myrmecocichla aethiops,Passerida,111.0,68.0,32.2,19.7,25.1,9.9,7.8
Myrmecocichla nigra,Passerida,93.0,54.0,30.8,17.5,18.4,8.4,6.6
Nectarinia aspasia,Passerida,58.0,33.0,12.4,8.4,20.8,3.9,2.9
Nectarinia jugularis,Passerida,51.0,31.0,13.5,7.9,19.4,4.3,2.9
Nectarinia olivacea,Passerida,60.3,45.8,15.4,8.9,25.3,4.9,3.8
Neocossyphus poensis,Passerida,105.4,84.4,23.8,16.8,19.0,7.0,5.4
Neocossyphus rufus,Passerida,111.5,90.0,25.3,17.3,20.1,7.7,5.8
Nesillas typica,Passerida,61.0,73.0,24.6,15.7,15.7,6.7,4.4
Nesocharis ansorgei,Passerida,51.0,44.0,14.4,11.0,10.7,6.5,6.9
Nesopsar nigerrimus,Passerida,98.0,71.0,22.9,17.2,25.1,9.6,10.2
Nicator chloris,Passerida,97.8,92.5,27.2,14.1,23.0,7.6,6.7
Nicator gularis,Passerida,98.8,102.0,29.2,18.3,23.7,11.2,8.3
Nigrita canicapillus,Passerida,64.0,48.0,18.3,14.6,14.0,7.8,5.9
Niltava macgrigoriae,Passerida,67.0,49.0,18.1,13.2,12.7,7.1,4.2
Niltava sundara,Passerida,85.0,68.0,21.8,16.3,16.7,7.6,5.6
Ocyalus latirostris,Passerida,187.0,101.5,32.5,23.3,35.7,17.3,16.3
Oedistoma pygmaeum,Passerida,48.0,22.0,15.8,9.4,13.0,3.6,3.3
Oenanthe moesta,Passerida,93.0,62.0,29.9,17.0,20.3,9.6,6.3
Oenanthe oenanthe,Passerida,98.0,54.0,28.6,17.0,17.7,8.0,5.4
Oenanthe pileata,Passerida,91.0,56.0,31.8,17.4,19.5,9.6,6.1
Onychognathus morio,Passerida,156.5,148.5,33.1,28.2,35.5,15.5,12.5
Onychognathus nabouroup,Passerida,136.0,108.0,32.5,24.3,26.6,11.0,9.2
Onychognathus salvadorii,Passerida,166.0,260.0,36.6,31.4,28.5,11.0,10.2
Onychognathus tristramii,Passerida,141.0,113.0,32.0,26.3,32.6,13.9,11.6
Onychognathus walleri,Passerida,130.0,89.8,26.3,21.1,24.4,11.9,8.6
Oporornis formosus,Passerida,68.0,49.0,22.0,13.8,14.1,3.7,3.8
Oreoscoptes montanus,Passerida,97.0,89.0,30.5,18.8,21.1,8.5,6.1
Orthotomus atrogularis,Passerida,45.0,35.0,19.0,8.3,17.3,3.6,2.4
Orthotomus sepium,Passerida,45.0,38.0,18.1,8.7,16.0,3.7,2.7
Orthotomus sericeus,Passerida,50.0,40.0,20.6,9.6,17.7,3.9,3.0
Orthotomus sutorius,Passerida,45.0,32.0,19.6,10.2,15.6,5.5,3.6
Oxylabes madagascariensis,Passerida,66.0,59.0,23.6,17.9,18.6,7.6,5.9
Pachycephalopsis poliosoma,Passerida,92.0,58.0,29.6,17.5,20.3,10.2,6.0
Padda oryzivora,Passerida,70.5,41.5,18.8,18.1,16.8,9.8,10.8
Parmoptila woodhousei,Passerida,52.8,37.7,13.6,9.4,12.5,5.0,4.0
Paroaria coronata,Passerida,98.5,81.0,25.9,17.8,16.7,8.6,9.2
Paroaria gularis,Passerida,78.0,65.0,20.8,16.0,16.2,6.9,6.6
Parula americana,Passerida,54.0,40.0,16.1,10.3,12.1,4.4,3.7
Parus atricapillus,Passerida,63.0,65.0,17.4,10.3,9.5,2.9,3.9
Parus carolinensis,Passerida,61.5,52.5,15.7,9.6,9.6,2.7,3.6
Passer domesticus,Passerida,78.5,54.0,19.3,16.2,15.1,8.5,8.4
Passer griseus,Passerida,85.0,58.0,19.1,15.8,14.8,7.5,7.9
Passer rufocinctus,Passerida,77.0,53.0,20.1,15.0,13.2,7.4,8.0
Passer suahelicus,Passerida,89.0,64.0,18.7,15.1,13.2,7.3,7.9
Passerculus sandwichensis,Passerida,72.0,50.0,21.4,17.4,13.3,6.7,6.6
Passerella iliaca,Passerida,87.0,69.0,24.9,16.5,13.6,9.5,11.4
Passerina caerulea,Passerida,84.0,64.0,20.4,16.1,19.8,10.5,12.5
Passerina cyanea,Passerida,66.0,50.0,17.2,12.5,13.2,5.7,6.4
Pellorneum capistratum,Passerida,69.0,53.0,29.6,16.4,18.0,6.0,4.6
Peneothello bimaculata,Passerida,93.0,50.0,23.3,16.7,19.9,10.4,5.2
Petrochelidon fulva,Passerida,102.0,45.0,11.2,11.2,10.5,10.1,4.4
Petrochelidon pyrrhonota,Passerida,108.0,49.0,12.6,12.1,10.7,8.9,4.5
Petroica australis,Passerida,97.0,67.0,35.7,21.8,19.5,7.5,5.9
Petroica goodenovii,Passerida,65.0,47.0,17.4,11.0,10.1,4.8,3.7
Petroica macrocephala,Passerida,70.0,53.0,21.7,14.4,12.2,4.9,3.8
Petroica multicolor,Passerida,74.5,51.5,20.1,14.2,11.9,5.1,3.9
Petronia petronia,Passerida,100.0,54.0,19.8,17.3,15.7,8.7,9.7
Petronia xanthocollis,Passerida,79.0,48.0,16.4,14.1,14.8,6.8,6.7
Peucedramus taeniatus,Passerida,77.3,48.3,17.6,16.4,12.5,4.5,3.5
Phaeothlypis rivularis,Passerida,62.2,48.6,22.3,13.2,15.6,7.5,4.9
Phainopepla nitens,Passerida,92.5,91.5,18.3,14.6,14.2,7.8,5.2
Phainoptila melanoxantha,Passerida,101.0,83.5,27.1,19.4,20.1,9.4,7.4
Pheucticus chrysopeplus,Passerida,111.0,88.0,27.3,18.0,26.7,13.9,16.3
Pheucticus ludovicianus,Passerida,100.0,74.0,22.5,15.3,20.8,12.0,13.2
Pheucticus melanocephalus,Passerida,99.0,78.0,23.6,17.6,19.9,11.8,13.6
Philesturnus carunculatus,Passerida,98.0,89.5,44.6,30.3,40.1,11.2,12.5
Phoenicurus ochruros,Passerida,85.0,61.0,24.5,16.5,14.2,7.1,4.8
Phoenicurus phoenicurus,Passerida,80.0,57.0,21.6,14.0,15.6,6.9,4.4
Phrygilus alaudinus,Passerida,75.3,57.0,21.6,14.1,13.9,6.8,7.3
Phyllastrephus albigularis,Passerida,76.7,68.5,18.6,10.3,20.0,6.5,4.9
Phyllastrephus icterinus,Passerida,73.8,65.8,18.4,9.4,18.9,5.9,4.4
Phyllastrephus xavieri,Passerida,81.0,72.5,19.9,10.1,20.3,6.0,4.9
Phyllolais pulchella,Passerida,46.0,42.0,14.5,9.6,10.5,3.9,2.6
Phylloscopus affinis,Passerida,60.0,48.0,19.2,11.3,12.3,4.6,3.4
Phylloscopus collybita,Passerida,63.0,49.0,19.7,11.2,11.8,4.8,3.0
Phylloscopus coronatus,Passerida,61.0,53.0,18.5,9.1,14.8,6.2,4.2
Phylloscopus griseolus,Passerida,66.0,58.0,22.3,12.3,14.3,5.2,4.0
Phylloscopus nitidus,Passerida,64.0,51.0,19.6,9.9,12.4,4.5,3.3
Phylloscopus presbytes,Passerida,54.0,42.0,20.4,9.8,13.5,5.1,4.4
Phylloscopus pulcher,Passerida,57.0,39.0,19.3,10.5,12.1,3.7,3.2
Phylloscopus reguloides,Passerida,56.0,43.0,17.4,10.2,13.1,5.3,3.3
Phylloscopus xanthoschistos,Passerida,51.0,37.0,17.1,9.5,12.1,4.7,3.5
Picathartes gymnocephalus,Passerida,144.3,128.8,63.7,37.2,33.9,13.6,13.8
Picathartes oreas,Passerida,150.0,129.5,62.7,37.7,39.1,15.7,12.8
Pinicola enucleator,Passerida,92.0,77.0,23.6,16.4,19.4,11.3,12.1
Pinicola subhimachala,Passerida,95.0,75.0,21.8,17.7,16.5,10.7,10.4
Pipilo chlorurus,Passerida,78.0,82.0,23.8,16.0,14.8,7.0,8.3
Pipilo erythrophthalmus,Passerida,85.0,92.3,27.6,19.1,15.4,8.5,8.5
Pipilo fuscus,Passerida,89.0,90.0,24.9,17.4,16.5,9.1,10.3
Piranga bidentata,Passerida,98.0,75.0,21.1,16.7,21.4,11.0,9.5
Piranga erythrocephala,Passerida,70.7,64.7,20.0,13.2,15.6,9.6,8.4
Piranga flava,Passerida,93.0,77.3,21.2,15.1,21.2,10.4,10.2
Piranga leucoptera,Passerida,74.0,58.0,18.6,13.1,16.0,8.4,7.6
Piranga ludoviciana,Passerida,99.0,72.0,22.4,14.8,19.6,10.3,8.9
Piranga olivacea,Passerida,98.3,67.5,19.3,14.1,17.6,8.5,8.5
Piranga roseogularis,Passerida,79.0,62.0,20.1,13.4,19.9,10.6,9.7
Piranga rubra,Passerida,94.0,68.3,19.6,14.2,21.4,9.8,9.6
Piranga rubriceps,Passerida,102.0,80.0,23.4,18.5,21.5,13.9,12.0
Platyspiza crassirostris,Passerida,84.0,55.0,28.0,18.0,16.8,11.4,7.5
Plocepasser mahali,Passerida,96.0,62.0,23.4,17.0,18.1,9.1,9.7
Ploceus capensis,Passerida,92.0,59.0,26.3,20.8,25.2,10.7,10.3
Ploceus hypoxanthus,Passerida,64.0,53.0,20.3,16.4,17.8,10.6,12.5
Ploceus intermedius,Passerida,72.0,46.0,21.2,14.4,15.4,7.5,7.3
Ploceus manyar,Passerida,66.0,45.0,21.3,17.8,19.5,9.8,11.1
Ploceus nelicourvi,Passerida,80.0,49.0,22.4,18.0,18.4,10.4,10.3
Ploceus reichardi,Passerida,70.0,43.0,20.4,15.1,15.8,8.9,9.4
Ploceus rubiginosus,Passerida,85.0,53.0,22.0,17.9,20.3,10.7,11.5
Ploceus spekei,Passerida,85.0,48.0,24.1,18.8,21.2,10.9,10.9
Poecilodryas hypoleuca,Passerida,79.0,53.0,18.5,12.2,17.6,8.2,5.7
