Species,Cladename,wing_length,tail_length,tarsus_length,middle_toe_length,bill_length,bill_width,bill_depth
Cyanolyca pulchra,core_Corvoidea,125.0,142.0,41.1,24.5,36.2,16.7,15.3
Cyanolyca turcosa,core_Corvoidea,142.0,148.0,40.7,23.8,32.5,15.1,14.4
Cyanopica cyanus,core_Corvoidea,140.0,216.0,31.6,22.6,30.5,14.3,12.1
Cyclarhis gujanensis,core_Corvoidea,73.0,53.5,22.4,17.1,20.8,10.1,9.9
Daphoenositta chrysoptera,core_Corvoidea,80.3,34.3,16.0,15.8,14.6,4.4,3.8
Daphoenositta miranda,core_Corvoidea,85.0,41.0,18.6,16.8,11.9,4.7,4.5
Dendrocitta formosae,core_Corvoidea,142.0,221.0,28.5,20.4,31.8,14.3,15.2
Dendrocitta occipitalis,core_Corvoidea,139.0,297.0,30.8,21.9,33.7,17.6,18.6
Dicrurus adsimilis,core_Corvoidea,119.5,98.5,19.1,14.5,23.0,11.8,8.3
Dicrurus aeneus,core_Corvoidea,109.0,98.0,14.0,8.8,22.1,9.5,6.6
Dicrurus atripennis,core_Corvoidea,115.1,96.2,16.8,13.0,23.3,11.0,8.4
Dicrurus hottentottus,core_Corvoidea,148.0,122.0,21.3,14.7,34.6,11.8,11.4
Dicrurus leucophaeus,core_Corvoidea,129.0,118.5,20.1,15.4,26.9,14.0,10.0
Dicrurus ludwigii,core_Corvoidea,104.4,84.4,17.7,11.1,20.4,9.3,6.8
Dicrurus paradiseus,core_Corvoidea,140.0,282.0,20.9,12.4,31.3,12.2,11.1
Dryoscopus cubla,core_Corvoidea,81.0,61.0,21.8,15.3,22.5,8.8,8.1
Dryoscopus gambensis,core_Corvoidea,82.0,74.0,25.7,15.1,22.3,8.9,7.7
Dryoscopus pringlii,core_Corvoidea,70.0,51.0,20.9,14.3,19.3,8.5,7.4
Epimachus meyeri,core_Corvoidea,169.0,558.5,52.9,36.5,87.0,15.1,11.7
Erpornis zantholeuca,core_Corvoidea,69.0,44.0,16.0,7.2,15.0,4.4,4.2
Eulacestoma nigropectus,core_Corvoidea,70.5,52.8,19.9,14.5,15.7,6.5,8.5
Eurocephalus anguitimens,core_Corvoidea,122.0,88.0,21.1,16.4,22.7,11.1,10.5
Euryceros prevostii,core_Corvoidea,145.0,105.0,27.3,25.9,43.0,19.0,18.7
Falculea palliata,core_Corvoidea,152.0,104.0,33.2,26.7,56.9,11.9,9.7
Falcunculus frontatus,core_Corvoidea,93.3,78.5,21.0,16.0,18.1,7.2,11.2
Garrulus glandarius,core_Corvoidea,176.0,146.0,41.4,24.6,30.4,13.6,14.0
Grallina bruijni,core_Corvoidea,99.0,75.0,27.9,18.3,21.5,6.2,5.9
Grallina cyanoleuca,core_Corvoidea,135.0,128.0,45.1,21.8,26.1,10.9,9.2
Gymnorhina tibicen,core_Corvoidea,266.0,151.0,57.0,40.8,46.3,14.5,17.4
Hemipus hirundinaceus,core_Corvoidea,66.0,47.0,11.9,7.5,19.1,6.7,4.5
Hylophilus aurantiifrons,core_Corvoidea,56.0,40.0,16.3,10.0,15.7,6.2,5.0
Hylophilus decurtatus,core_Corvoidea,53.0,36.0,16.6,8.7,15.2,6.3,4.5
Hylophilus flavipes,core_Corvoidea,55.0,46.0,18.4,10.5,14.9,5.9,5.1
Hylophilus hypoxanthus,core_Corvoidea,92.0,45.0,16.8,11.7,15.2,6.6,5.2
Hylophilus ochraceiceps,core_Corvoidea,56.5,41.0,18.0,10.0,14.7,5.9,4.7
Hypothymis azurea,core_Corvoidea,67.0,65.0,15.5,8.6,15.1,6.0,4.2
Ifrita kowaldi,core_Corvoidea,82.8,59.5,28.1,18.6,17.6,8.3,6.7
Lalage atrovirens,core_Corvoidea,98.0,76.0,17.2,11.0,17.8,5.7,4.6
Lamprolia victoriae,core_Corvoidea,81.0,50.0,22.3,13.8,18.3,6.8,4.9
Laniarius aethiopicus,core_Corvoidea,94.0,89.0,33.3,21.9,24.9,11.0,10.3
Laniarius atrococcineus,core_Corvoidea,97.0,99.0,31.4,18.3,24.1,9.6,9.8
Laniarius barbarus,core_Corvoidea,106.0,102.0,36.1,18.8,25.7,12.3,10.6
Laniarius bicolor,core_Corvoidea,107.0,104.0,33.0,23.8,28.5,9.3,9.1
Laniarius erythrogaster,core_Corvoidea,105.0,100.0,32.3,21.9,25.8,9.9,9.0
Laniarius ferrugineus,core_Corvoidea,96.0,105.0,36.1,21.4,26.6,11.7,10.3
Laniarius fuelleborni,core_Corvoidea,81.0,79.0,31.6,19.6,25.1,10.6,9.6
Laniarius luehderi,core_Corvoidea,90.0,87.0,31.0,18.7,26.9,10.4,10.1
Laniarius poensis,core_Corvoidea,84.0,87.0,30.1,19.7,23.3,11.1,9.9
Lanioturdus torquatus,core_Corvoidea,81.0,37.0,29.3,16.9,21.7,8.4,5.5
Lanius cabanisi,core_Corvoidea,113.0,151.0,33.2,23.0,25.8,12.7,12.5
Lanius collaris,core_Corvoidea,91.0,109.0,25.4,17.6,19.2,11.1,9.5
Lanius collurio,core_Corvoidea,92.0,79.0,23.0,16.6,21.1,8.8,7.9
Lanius dorsalis,core_Corvoidea,100.0,89.0,25.3,19.3,21.7,12.2,10.1
Lanius excubitoroides,core_Corvoidea,118.0,146.0,29.7,24.7,23.0,11.3,10.1
Lanius ludovicianus,core_Corvoidea,94.0,97.0,26.5,16.4,20.2,10.4,8.8
Lanius mackinnoni,core_Corvoidea,89.0,107.0,24.6,17.9,20.2,11.0,9.7
Lanius minor,core_Corvoidea,122.0,89.0,25.1,18.4,22.6,11.6,11.4
Lanius nubicus,core_Corvoidea,92.0,86.0,22.4,14.8,18.2,8.1,7.4
Lanius schach,core_Corvoidea,105.0,130.0,32.4,22.1,24.4,12.5,11.1
Lanius senator,core_Corvoidea,98.0,75.0,23.9,17.3,18.9,9.2,9.0
Lanius sphenocercus,core_Corvoidea,122.0,146.0,29.4,20.0,23.5,11.9,10.9
Lanius tephronotus,core_Corvoidea,101.0,109.0,27.7,20.1,20.8,11.5,10.7
Lanius tigrinus,core_Corvoidea,84.0,69.0,22.6,16.3,18.2,10.3,9.4
Leptopterus chabert,core_Corvoidea,98.0,46.5,18.6,12.5,18.7,8.0,6.8
Lophorina superba,core_Corvoidea,133.0,88.0,35.3,23.1,25.7,9.2,9.1
Lycocorax pyrrhopterus,core_Corvoidea,189.0,139.0,45.3,31.7,47.8,16.4,17.5
Machaerirhynchus flaviventer,core_Corvoidea,60.0,43.0,13.7,8.0,17.3,8.6,4.1
Malaconotus alius,core_Corvoidea,108.0,105.0,31.6,18.8,31.1,14.6,13.3
Malaconotus blanchoti,core_Corvoidea,114.0,112.0,35.0,22.0,30.6,14.0,13.3
Manucodia ater,core_Corvoidea,169.0,137.0,34.0,22.5,37.2,10.1,12.4
Melampitta lugubris,core_Corvoidea,88.3,60.5,41.4,23.5,22.4,8.7,8.1
Mohoua albicilla,core_Corvoidea,75.0,68.5,27.4,15.6,13.5,6.0,4.6
Mohoua novaeseelandiae,core_Corvoidea,65.0,54.5,19.8,12.9,11.8,5.6,4.0
Mohoua ochrocephala,core_Corvoidea,75.0,62.0,31.2,14.4,13.4,7.0,5.8
Monarcha chrysomela,core_Corvoidea,74.0,59.0,16.7,10.3,16.9,5.9,4.4
Monarcha guttula,core_Corvoidea,78.0,68.0,15.4,9.0,17.3,6.0,4.7
Myiagra alecto,core_Corvoidea,87.0,70.0,18.0,11.7,21.0,7.4,5.0
Myiagra inquieta,core_Corvoidea,106.0,90.0,18.7,13.5,19.8,7.1,5.0
Mystacornis crossleyi,core_Corvoidea,70.0,46.5,23.6,15.7,22.6,8.0,5.8
Nilaus afer,core_Corvoidea,77.5,44.0,20.7,12.0,18.6,7.8,6.1
Nucifraga caryocatactes,core_Corvoidea,187.0,152.0,38.4,26.2,51.3,18.9,15.7
Oreocharis arfaki,core_Corvoidea,69.0,42.5,19.3,15.4,11.9,6.9,5.0
Oreoica gutturalis,core_Corvoidea,109.0,78.0,29.3,17.7,19.7,9.3,9.3
Oriolia bernieri,core_Corvoidea,125.0,88.5,23.0,17.9,27.7,10.7,10.1
Oriolus brachyrhynchus,core_Corvoidea,118.9,85.3,19.1,14.1,23.3,8.4,7.8
Oriolus chinensis,core_Corvoidea,150.5,89.5,26.9,21.8,34.7,14.0,11.1
Oriolus larvatus,core_Corvoidea,122.5,74.0,22.8,16.7,26.4,10.0,8.9
Oriolus xanthonotus,core_Corvoidea,112.0,82.0,17.6,11.1,24.0,8.9,7.3
Pachycephala pectoralis,core_Corvoidea,94.0,73.0,19.5,11.0,15.3,5.2,5.4
Pachycephala rufiventris,core_Corvoidea,93.0,68.0,18.5,10.8,15.2,5.2,5.3
Pachycephala simplex,core_Corvoidea,80.0,61.0,17.2,11.1,16.7,5.1,5.2
Paradisaea minor,core_Corvoidea,181.0,127.0,40.2,24.2,36.7,10.5,10.5
Paradisaea raggiana,core_Corvoidea,185.0,152.5,44.9,32.2,37.7,17.6,13.9
Paramythia montium,core_Corvoidea,106.0,88.0,30.6,22.6,17.6,8.2,7.1
Parotia lawesii,core_Corvoidea,150.0,87.0,42.9,32.7,23.4,7.0,8.4
Parotia wahnesi,core_Corvoidea,148.0,182.0,47.8,29.9,30.5,15.3,10.6
Peltops blainvillii,core_Corvoidea,101.0,74.0,15.7,11.6,25.1,10.8,9.0
Pericrocotus cinnamomeus,core_Corvoidea,69.0,69.7,14.2,10.8,13.2,6.5,4.3
Pericrocotus flammeus,core_Corvoidea,103.3,99.5,18.9,15.4,21.5,10.2,7.1
Pericrocotus solaris,core_Corvoidea,83.8,88.8,14.1,11.7,15.4,7.0,4.7
Perisoreus infaustus,core_Corvoidea,147.0,127.0,36.2,22.5,26.1,13.7,12.0
Philentoma pyrhoptera,core_Corvoidea,81.0,67.0,15.9,10.5,20.5,7.7,4.6
Philentoma velata,core_Corvoidea,99.0,83.0,19.1,11.2,21.2,8.8,5.5
Pica pica,core_Corvoidea,200.0,283.0,49.1,30.4,42.9,18.6,16.5
Pitohui cristatus,core_Corvoidea,108.0,85.0,34.3,23.8,26.5,14.8,12.6
Pitohui dichrous,core_Corvoidea,107.3,98.1,33.6,21.4,29.3,12.2,10.8
Pitohui ferrugineus,core_Corvoidea,125.7,106.8,30.9,20.2,27.7,11.0,10.6
Pitohui kirhocephalus,core_Corvoidea,103.0,95.0,27.7,17.7,29.5,8.3,8.4
Pitohui nigrescens,core_Corvoidea,126.0,106.5,31.8,19.7,28.2,13.6,11.6
Pityriasis gymnocephala,core_Corvoidea,151.0,77.0,29.0,18.8,35.9,13.6,16.1
Platylophus galericulatus,core_Corvoidea,132.0,113.0,33.3,19.4,31.2,13.1,13.0
